ratio,word
0.2856899874415861,沪指
0.26029817833107316,上涨
0.256579342393748,空间
0.21444892255404716,毛病
0.2042726042570717,暴跌
0.1777448980482795,市净率
0.17210242618688695,6000点
0.17210242618688695,300点
0.17210242618688695,1600点
0.17210242618688695,3000点
0.16795576882412203,瞎扯
0.16064357667516016,股市
0.1505896229135261,万手哥
0.14664151298376926,糟蹋
0.14236570011616453,年线
0.14189953950933393,血汗钱
0.14028991316269315,未来
0.14015300248857612,用词
0.1353103884445017,胆小
0.12199829867677603,下来
0.1217403561106464,炒股
0.12167019602028577,散户
0.12019563768208859,放量
0.12013155550538,杀跌
0.115440571093881,巨大
0.11310560936588282,直指
0.11184172851778823,骗子
0.11103596407051682,忽悠
0.11055562951646754,猜想
0.11051923635221166,赌博
0.1024501360191145,投机
0.10235987693314716,抵抗
0.10062816675237121,恐慌
0.10008800081875659,大关
0.0969009004432993,标题
0.0907705714486876,广阔
0.08766669143819754,上去
0.07753701655256337,哈哈
0.07744609178409913,囗
0.0719052768032616,股票
0.07153729610589125,正确
0.07089859483072833,下跌
0.06769010881313459,判断
0.06504905216236112,当初
0.0630966157604489,回到
0.062079931370492614,千万
0.06194324639083107,离开
0.06192122461589345,无奈
0.061528335139769554,最好
0.06093198692384359,力量
0.06062524769120138,证明
0.059949541263315566,看看
0.05931769578200119,真是
0.0578398650349599,风险
0.05665668617356258,大约
0.05660521125611314,实际
0.05436259821939057,形成
0.053724810189598855,关键
0.05315244797012882,保证
0.052893479138535614,有点
0.049809447750003205,投资
0.04883218171382973,结果
0.04737810876989601,原因
0.04721382810590964,别
0.04374217209866281,不要
0.04353153374911787,生活
0.04324540359553404,比较
0.04223976243675134,所有
0.04216571252575501,点
0.04145539379774852,你
0.039147749752719334,选择
0.033774472213531706,吓
0.033476939805861805,可能
0.03262840572252208,滴
0.03213626995337956,订
0.032032076018013195,啥
0.03107650957471633,到
0.028581269305331728,没
0.028551223142418418,会
0.027954902569847236,板
0.02696270397143513,活
0.026897732892393954,小编
0.026528524575780414,涨
0.024903205010514046,敢
0.02481662725695838,再
0.02451114093067655,我
0.023264051661192633,目前
0.023182781166537162,死
0.02273092338084779,跑
0.022368345703557647,这话
0.022294016076625327,怎么
0.022248564515421704,股
0.019229050703423713,先
0.019115010325047675,年
0.019018287992133016,吗
0.018370534348046388,买
0.017489632858391974,真
0.017436394462272773,要
0.017398274797128667,总
0.017002029464045474,那时
